PABST_2,PABST_3,PABST_4,PABST_5,PABST_6,PABST_7,PABST_8,PABST_9,PABST_10,PABST_11,PABST_12,PABST_13,PABST_14,PABST_15,PABST_16,PABST_17,PABST_18,PABST_19,PABST_20,PABST_21,PABST_22,PABST_23,PABST_24,PABST_25,PABST_26,PABST_27,PABST_28,PABST_29,PABST_30,PABST_31,PABST_32,THT_1,THT_2,THT_3,THT_4,THT_5,THT_6,THT_7,THT_8,THT_9,THT_10,THT_11,THT_12,THT_13,THT_14,THT_15,THT_16,THT_17,THT_18,THT_19,THT_20,THT_21,THT_22,THT_23,THT_24,THT_25,THT_26,THT_27,THT_28,THT_29,THT_30,THT_31,THT_32,ZS,SSOCANZ1,SSOCANZ2,SSOCANZ3,SSOCANZ4,SSOCANZ5,SSOCANZ6,ISBACANZ1,ISBACANZ2,ISBACANZ3,ISBACANZ4,ISBACANZ5,ISBACANZ6,BLD_HEIGHT,TEB_T1,TEB_T2,TEB_T3,TEB_T4,TEB_T5,TEB_T6,TEB_P1,TEB_P2,TEB_P3,TEB_P4,TEB_P5,TEB_P6,ISBA_T1,ISBA_T2,ISBA_T3,ISBA_T4,ISBA_T5,ISBA_T6,ISBA_P1,ISBA_P2,ISBA_P3,ISBA_P4,ISBA_P5,ISBA_P6,longitude,latitude,X,Y,MNT
100861.99863,100108.84121,99211.8025,98149.96819,96895.69095,95412.23391,93658.52403,91589.00482,89153.92191,86298.40641,82965.32259,79095.36682,74627.62158,69510.2026,64002.32055,58637.29499,53655.21473,49030.59201,44736.19183,40745.85284,37036.56268,33592.38249,30399.32757,27443.29713,24710.00099,22188.34997,19874.30457,17770.82186,15880.67377,14192.18922,12683.52994,298.7438,298.7438,298.74765,299.81882,303.07379,304.87008,305.93619,306.54052,306.90655,307.21759,307.45964,308.17299,309.03444,309.46028,309.98627,311.86271,315.38011,319.12266,322.21549,325.10184,327.0524,328.76895,330.46458,332.16445,333.70427,335.05092,336.86164,340.57044,347.85795,359.24723,371.25126,371.25126,47.10327,0.5,"2","4",6.5,"10",29.90036,"999","999","999","999","999","999",20.82,300.16761,299.72985,299.54989,299.1837,298.72708,298.43976,101528.9295,101511.53191,101488.33513,101384.99346,101177.65149,100946.45409,"999","999","999","999","999","999","999","999","999","999","999","999",2.30871,48.86967,649290.837,6863515.588,34.50000
100912.05484,100158.12474,99260.24224,98197.66385,96942.53625,95457.99915,93702.9956,91631.95853,89195.16224,86337.75176,83002.48897,79130.03254,74659.48006,69538.89001,64027.61347,58659.35005,53674.49068,49047.19789,44750.27573,40757.83261,37046.65662,33600.81964,30406.33782,27449.02594,24714.5031,22191.68807,19876.53006,17772.19203,15881.42914,14192.39545,12683.29324,298.65868,298.65868,298.59541,299.76546,303.08714,304.85325,305.91127,306.51969,306.89516,307.21335,307.46235,308.16441,309.00566,309.46528,309.96822,311.8429,315.35801,319.1417,322.16753,325.09998,327.05759,328.78398,330.4788,332.18373,333.71303,335.0461,336.83731,340.51981,347.87154,359.25362,371.24718,371.24718,42.76851,0.5,"2","4",6.5,"10",29.91151,"999","999","999","999","999","999",18.27667,299.91535,299.55818,299.41091,299.12252,298.73064,298.45606,101549.47048,101532.06506,101508.85784,101420.22557,101227.50306,100996.11537,"999","999","999","999","999","999","999","999","999","999","999","999",2.31724,48.86967,649916.534,6863510.144,32.40000
100885.63454,100131.71449,99234.00138,98172.05885,96917.78948,95433.94493,93679.5286,91609.13618,89173.13128,86316.60804,82982.44312,79111.25932,74642.10594,69523.10962,64013.61845,58647.26369,53664.28431,49038.49903,44742.72898,40751.36907,37041.22784,33596.3428,30402.77424,27446.29527,24712.39973,22190.05908,19875.23076,17771.29363,15880.96681,14192.22884,12683.36968,298.55689,298.55689,298.48187,299.74684,303.21897,304.93091,305.91858,306.51456,306.89279,307.21798,307.45458,308.17823,308.98049,309.46829,309.94441,311.83057,315.374,319.18076,322.15552,325.08088,327.0469,328.79622,330.49075,332.22471,333.73028,335.04595,336.82147,340.48456,347.8988,359.2578,371.24498,371.24498,45.10536,0.5,"2","4",6.5,"10",29.9071,"999","999","999","999","999","999",21.785,300.33154,299.83651,299.6325,299.21392,298.7064,298.40862,101562.84507,101545.44116,101522.23594,101413.25843,101200.21673,100968.88311,"999","999","999","999","999","999","999","999","999","999","999","999",2.32578,48.86966,650542.956,6863503.65,34.50000
100850.6773,100096.82229,99199.69589,98138.62601,96885.05222,95402.01491,93648.50906,91579.12416,89144.26437,86288.88506,82956.09652,79086.56439,74619.27728,69502.44477,63995.29191,58631.42525,53650.79741,49026.9959,44732.85767,40742.88971,37034.11289,33590.45503,30397.99616,27442.56694,24709.53822,22187.88492,19873.55665,17770.16183,15880.37709,14192.01337,12683.47327,298.43574,298.43574,298.37529,299.95309,303.27015,304.9596,305.95772,306.53184,306.90901,307.22109,307.42676,308.18451,308.93154,309.46262,309.93334,311.8183,315.4115,319.2049,322.16323,325.06185,327.03777,328.80637,330.47307,332.23562,333.73581,335.04818,336.81092,340.45603,347.93539,359.25374,371.23912,371.23912,48.17532,0.5,"2","4",6.5,"10",29.90163,"999","999","999","999","999","999",22.59167,300.37281,299.82762,299.6003,299.13095,298.57217,298.2621,101536.62211,101519.21535,101496.00634,101382.33053,101164.59469,100933.2656,"999","999","999","999","999","999","999","999","999","999","999","999",2.33432,48.86965,651169.379,6863497.223,33.50000
100844.27235,100090.28299,99193.27285,98132.37781,96878.92391,95396.06961,93642.79983,91573.65289,89138.94913,86283.66639,82951.01922,79081.72955,74614.78962,69498.34187,63991.59804,58628.36133,53648.24195,49024.88767,44731.14519,40741.30378,37032.74766,33589.35765,30397.13477,27441.95639,24709.1282,22187.58301,19873.23866,17769.88882,15880.22665,14191.93249,12683.45613,298.31164,298.31164,298.3291,300.01074,303.25568,304.96704,305.96805,306.54044,306.91287,307.21836,307.41102,308.17873,308.95153,309.43775,309.91483,311.81942,315.44422,319.18664,322.20184,325.05182,327.01983,328.80589,330.45867,332.23643,333.73761,335.05392,336.79626,340.4291,347.94586,359.24931,371.23191,371.23191,48.75909,0.5,"2","4",6.5,"10",29.90068,"999","999","999","999","999","999",21.1375,300.22033,299.70374,299.48649,299.05162,298.51446,298.20161,101512.73182,101495.32251,101472.11011,101366.85635,101157.53103,100926.17548,"999","999","999","999","999","999","999","999","999","999","999","999",2.34285,48.86964,651795.069,6863490.87,35.09000
100845.42349,100091.25058,99194.225,98133.4064,96879.88657,95396.88124,93643.57251,91574.34543,89139.48834,86284.16577,82951.43557,79082.03544,74615.04754,69498.4902,63991.6906,58628.57982,53648.4937,49025.20317,44731.53075,40741.50503,37032.81665,33589.46784,30397.31639,27442.17493,24709.3636,22187.79219,19873.29986,17769.82007,15880.167,14191.89534,12683.41659,298.2111,298.2111,298.28171,300.05895,303.283,304.92709,305.94139,306.54267,306.90636,307.21486,307.42516,308.17664,308.96963,309.36099,309.8979,311.82857,315.45734,319.17644,322.23206,325.05046,326.99977,328.80992,330.48455,332.24873,333.73988,335.06044,336.79064,340.39274,347.94526,359.26338,371.22785,371.22785,48.70568,0.5,"2","4",6.5,"10",29.90076,"999","999","999","999","999","999",18.925,300.03483,299.533,299.3188,298.91155,298.40099,298.0846,101487.75032,101470.33387,101447.11192,101354.65956,101158.09253,100926.64127,"999","999","999","999","999","999","999","999","999","999","999","999",2.35139,48.86963,652421.493,6863484.578,41.00000
100862.37924,100108.13013,99211.0285,98149.75981,96895.69238,95412.16243,93658.3435,91588.55287,89153.00925,86297.10908,82963.69643,79093.44567,74625.56216,69507.89264,63999.93792,58635.84425,53654.85595,49030.74781,44736.42172,40745.60829,37036.11308,33592.19376,30399.62733,27444.15722,24711.00732,22189.06999,19874.14909,17770.2177,15880.31657,14191.94439,12683.32021,298.1596,298.1596,298.40562,300.05991,303.18152,304.88776,305.89462,306.53487,306.88768,307.21066,307.44938,308.16821,308.9659,309.29138,309.89491,311.83944,315.47049,319.16104,322.24756,325.07587,326.96606,328.79676,330.49827,332.27514,333.7755,335.07941,336.79078,340.35995,347.89688,359.29505,371.23993,371.23993,47.26786,0.5,"2","4",6.5,"10",29.90365,"999","999","999","999","999","999",19.1675,299.87465,299.39854,299.19528,298.80655,298.31876,298.01044,101507.34374,101489.91998,101466.6883,101372.78876,101174.71972,100943.14904,"999","999","999","999","999","999","999","999","999","999","999","999",2.35993,48.86962,653047.918,6863478.354,36.29000
100850.4498,100096.64453,99199.78955,98138.60495,96884.57984,95401.13186,93647.48763,91577.9169,89142.64451,86287.25292,82954.43956,79084.72843,74617.49656,69500.5627,63993.4374,58630.24009,53650.16528,49026.76116,44733.08554,40742.81479,37033.67715,33590.09029,30397.89841,27442.90574,24710.12654,22188.46719,19873.69276,17769.78518,15879.9991,14191.84623,12683.33542,298.32636,298.32636,298.5181,300.03661,303.12606,304.81342,305.86171,306.50923,306.88391,307.20475,307.47525,308.15651,308.95466,309.28362,309.89528,311.84599,315.48259,319.17747,322.23816,325.10321,326.94822,328.78936,330.45908,332.29788,333.79946,335.09748,336.80088,340.33236,347.8568,359.30605,371.26995,371.26995,48.34172,0.5,"2","4",6.5,"10",29.90008,"999","999","999","999","999","999",17,299.77042,299.31914,299.12531,298.76924,298.29325,297.98267,101469.62561,101452.20226,101428.97112,101347.66214,101162.19992,100930.66231,"999","999","999","999","999","999","999","999","999","999","999","999",2.36846,48.86961,653673.611,6863472.204,39.29000
100740.97501,99988.55365,99093.53352,98034.3421,96782.34512,95301.28098,93550.31186,91483.74354,89051.77564,86200.47293,82872.44067,79007.89715,74546.58886,69436.51013,63936.92139,58581.1613,53607.99008,48990.46922,44702.02957,40716.53703,37011.54024,33571.66012,30382.75584,27430.81581,24700.75846,22181.4707,19868.72838,17766.49522,15878.15437,14191.26371,12683.74192,298.44638,298.44638,298.63336,300.22903,303.07634,304.807,305.85866,306.50376,306.8818,307.19617,307.52501,308.14945,308.93822,309.29128,309.90686,311.86916,315.5237,319.23706,322.21445,325.15389,326.94952,328.79817,330.43748,332.30136,333.82685,335.11972,336.8184,340.33063,347.84805,359.32276,371.2804,371.2804,57.92521,0.5,"2","4",6.5,"10",29.87209,"999","999","999","999","999","999",15.8975,299.7498,299.32301,299.14324,298.82316,298.38842,298.09114,101345.36848,101327.97048,101304.77315,101229.97625,101051.28587,100820.30157,"999","999","999","999","999","999","999","999","999","999","999","999",2.377,48.86959,654300.029,6863465.004,48.79000
100949.47177,100195.2136,99296.69531,98232.97235,96976.90998,95491.74272,93736.12486,91664.40565,89226.57036,86367.83038,83031.03733,79156.82847,74684.4429,69561.58159,64047.53365,58676.52796,53689.15982,49059.66134,44760.89825,40766.83507,37054.18715,33606.99889,30411.30504,27452.95805,24717.56382,22194.01958,19878.26803,17773.32081,15882.00402,14192.57924,12683.13665,298.62713,298.62713,298.65651,299.59087,302.8879,304.86516,305.93946,306.57166,306.91968,307.19874,307.45953,308.16158,309.00721,309.39099,309.95135,311.81169,315.32752,319.1173,322.15752,325.08835,327.05121,328.76965,330.46928,332.18097,333.7142,335.04862,336.85251,340.54215,347.84447,359.25092,371.25069,371.25069,39.45734,0.5,"2","4",6.5,"10",29.91898,"999","999","999","999","999","999",21.53167,300.02232,299.60667,299.44154,299.1014,298.7036,298.43928,101625.60821,101608.19539,101584.97829,101477.41541,101265.6891,101034.14514,"999","999","999","999","999","999","999","999","999","999","999","999",2.3087,48.86406,649284.642,6862891.809,28.70000
